site,BIODICAPT_ID,conduite,culture,network,seqnum,hex_area,CLC,CHELSA_tas,CHELSA_spi12
ABSYS,BDC_VSF_P01,AB,vigne,MONTPELLIER,1096265,95977942.2390081,3,10.9140557806476,-274.235164268344
ABSYS,BDC_VSF_P02,AB,vigne,MONTPELLIER,1096269,95977942.2797677,3,10.1570502550174,-274.294616699219
ABSYS,BDC_VSF_P03,AB,vigne,MONTPELLIER,1094076,95977942.200266,3,9.99102680499737,-273.878397623698
ABSYS,BDC_VSF_P04,AB,vigne,MONTPELLIER,1095535,95977942.2225773,3,10.0423573414991,-274.108471135425
ABSYS,BDC_VSF_P05,AB,vigne,MONTPELLIER,1095539,95977942.2624814,3,9.36699468325945,-274.278564852048
ABSYS,BDC_VSF_P06,AB,vigne,MONTPELLIER,1096269,95977942.2797677,3,10.1570502550174,-274.294616699219
CEFE,BDC_VSF_P07,AB,vigne,MONTPELLIER,1094077,95977942.2097754,3,8.70779291066256,-273.953183458997
CEFE,BDC_VSF_P08,AB,vigne,MONTPELLIER,1094077,95977942.2097754,3,8.70779291066256,-273.953183458997
CEFE,BDC_VSF_P09,CONVENTIONNELLE,vigne,MONTPELLIER,1095538,95977942.2523538,3,9.63607640809651,-274.252022658722
CEFE,BDC_VSF_P10,AB,vigne,MONTPELLIER,1096267,95977942.2591802,3,10.448684591996,-274.245463321083
CEFE,BDC_VSF_P11,AB,vigne,MONTPELLIER,1096268,95977942.2694213,3,10.1642866506205,-274.278053580941
CEFE,BDC_VSF_P12,CONVENTIONNELLE,vigne,MONTPELLIER,1096268,95977942.2694213,3,10.1642866506205,-274.278053580941
CEFE,BDC_VSF_P13,CONVENTIONNELLE,vigne,MONTPELLIER,1096268,95977942.2694213,3,10.1642866506205,-274.278053580941
CEFE,BDC_VSF_P14,CONVENTIONNELLE,vigne,MONTPELLIER,1095540,95977942.2727263,3,9.55128999525501,-274.305997590096
CEFE,BDC_VSF_P15,CONVENTIONNELLE,vigne,MONTPELLIER,1094811,95977942.265742,3,8.22843118430742,-274.304833505668
CEFE,BDC_VSF_P16,CONVENTIONNELLE,vigne,MONTPELLIER,1097725,95977942.2730633,5,11.4081738665213,-274.268823162403
CEFE,BDC_VSF_P17,AB,vigne,MONTPELLIER,1096269,95977942.2797677,3,10.1570502550174,-274.294616699219
CEFE,BDC_VSF_P18,CONVENTIONNELLE,vigne,MONTPELLIER,1096998,95977942.2869048,22,10.5967931013841,-274.28057607015
CEFE,BDC_VSF_P19,CONVENTIONNELLE,vigne,MONTPELLIER,1096269,95977942.2797677,3,10.1570502550174,-274.294616699219
CEFE,BDC_VSF_P20,CONVENTIONNELLE,vigne,MONTPELLIER,1095538,95977942.2523538,3,9.63607640809651,-274.252022658722
CEFE,BDC_VSF_P21,CONVENTIONNELLE,vigne,MONTPELLIER,1094804,95977942.1969982,22,10.8513184597618,-273.899211281224
CEFE,BDC_VSF_P22,CONVENTIONNELLE,vigne,MONTPELLIER,1094805,95977942.2065087,22,10.6787574743134,-273.961374120775
