region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions,seqnum,hex_area,CLC,CHELSA_tas,CHELSA_spi12
NOUVELLE-AQUITAINE,146,2.6,1,Ble,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Ouest,0,1,0,,1066371,95977941.9811828,21,8.18901513262493,-273.665428719869
GRAND-EST,210,7,1,Ble,Semi-continental nord,Bocage a dominante polyculture elevage,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Plateau,0,Plein soleil,Ouest,0,0,0,,1081731,95977942.5834277,21,6.51785675684611,-272.001071384975
OCCITANIE,20,3.8,1,Mais,"Mediterraneen, zone de l'olivier",Paysage mixte,,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Sud,0,0,0,,1092613,95977942.14273,3,9.40986901521683,-273.314867521587
OCCITANIE,27,15.4,1,Mais,"Mediterraneen, zone de l'olivier",Paysage mixte,,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Sud,0,1,0,,1095531,95977942.18426,5,11.2393978068371,-274.028078799216
ILE-DE-FRANCE,77,0.5,1,Salade,Semi-oceanique,Paysage mixte,Open field,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Sud-Ouest,1,0,0,,1070054,95977942.3035826,21,7.2393471390538,-272.634025438297
NOUVELLE-AQUITAINE,111,7.93,0,Mais,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plateau,0,Plein soleil,Sud-Ouest,0,1,0,,1065640,95977941.9645443,21,8.31937599182129,-273.649129676819
AUVERGNE-RHONE-ALPES,250,11.97,1,Ble,Semi-continental sud,Paysage mixte,Open field,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Nord,0,1,0,,1091186,95977942.4445906,24,8.04813677627848,-273.62975221243
HAUTS-DE-FRANCE,51,5.15,1,Mais,Semi-oceanique a semi-continental,Bocage a dominante polyculture elevage,Bocage a dominante polyculture elevage,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord-Ouest,0,0,0,,616001,95977942.3292775,5,7.1922888973781,-272.332742222377
ILE-DE-FRANCE,73,11,1,Salade,Semi-oceanique,Paysage mixte,Paysage mixte,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Nord-Ouest,0,0,0,,1070778,95977942.2649161,3,7.5470290184021,-272.262201944987
NOUVELLE-AQUITAINE,135,7.3,1,Ble,Oceanique a semi oceanique sud,Bocage a dominante polyculture elevage,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord-Ouest,0,0,0,,1067835,95977942.0294462,21,8.33363519148393,-273.370725874467
HAUTS-DE-FRANCE,125,0.01,1,Salade,Semi-oceanique a semi-continental,Paysage mixte,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Est,1,0,0,,616735,95977942.28293,21,6.63959337521151,-272.978729953656
NOUVELLE-AQUITAINE,135,2.7,1,Ble,Oceanique a semi oceanique sud,Bocage a dominante polyculture elevage,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord-Est,0,0,0,,1068564,95977942.0342042,21,8.24324539980274,-273.328095231319
HAUTS-DE-FRANCE,175,12,0,Ble,Semi-oceanique a semi-continental,Bocage a dominante polyculture elevage,,Zone de grandes cultures,Zone de grandes cultures,Fond de vallee,0,Semi ombrage,Ouest,0,1,0,,619651,95977942.2478244,21,6.13669861534427,-272.643122149341
