LON,LAT,region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions
0.08965431561855204,46.46134015966647,NOUVELLE-AQUITAINE,146,2.6,1,Ble,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Ouest,0,1,0,NA
5.060157645637329,48.55807439023111,GRAND-EST,210,7,1,Ble,Semi-continental nord,Bocage a dominante polyculture elevage,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Plateau,0,Plein soleil,Ouest,0,0,0,NA
3.025568814116539,43.40864151863365,OCCITANIE,20,3.8,1,Mais,"Mediterraneen, zone de l'olivier",Paysage mixte,NA,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Sud,0,0,0,NA
3.374056610214928,43.27835246117996,OCCITANIE,27,15.4,1,Mais,"Mediterraneen, zone de l'olivier",Paysage mixte,NA,Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Sud,0,1,0,NA
2.8795115126271784,48.922257503648154,ILE-DE-FRANCE,77,0.5,1,Salade,Semi-oceanique,Paysage mixte,Open field,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Sud-Ouest,1,0,0,NA
-0.03637446056697534,46.3663983699178,NOUVELLE-AQUITAINE,111,7.93,0,Mais,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plateau,0,Plein soleil,Sud-Ouest,0,1,0,NA
4.7391476225194635,45.93298449957139,AUVERGNE-RHONE-ALPES,250,11.97,1,Ble,Semi-continental sud,Paysage mixte,Open field,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Nord,0,1,0,NA
1.4123773762053007,50.06974722691494,HAUTS-DE-FRANCE,51,5.15,1,Mais,Semi-oceanique a semi-continental,Bocage a dominante polyculture elevage,Bocage a dominante polyculture elevage,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord-Ouest,0,0,0,NA
2.6188655885507717,48.52212994007676,ILE-DE-FRANCE,73,11,1,Salade,Semi-oceanique,Paysage mixte,Paysage mixte,Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Nord-Ouest,0,0,0,NA
0.5739012132983651,46.73185215903626,NOUVELLE-AQUITAINE,135,7.3,1,Ble,Oceanique a semi oceanique sud,Bocage a dominante polyculture elevage,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord-Ouest,0,0,0,NA
2.2120218846051607,49.98844951948417,HAUTS-DE-FRANCE,125,0.01,1,Salade,Semi-oceanique a semi-continental,Paysage mixte,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Est,1,0,0,NA
0.6319052025421914,46.685243987652456,NOUVELLE-AQUITAINE,135,2.7,1,Ble,Oceanique a semi oceanique sud,Bocage a dominante polyculture elevage,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord-Est,0,0,0,NA
1.8598436594658434,49.643758483859486,HAUTS-DE-FRANCE,175,12,0,Ble,Semi-oceanique a semi-continental,Bocage a dominante polyculture elevage,NA,Zone de grandes cultures,Zone de grandes cultures,Fond de vallee,0,Semi ombrage,Ouest,0,1,0,NA
4.967077333072405,48.53779096621794,GRAND-EST,220,9.33,1,Mais,Semi-continental nord,Bocage a dominante polyculture elevage,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Ouest,0,1,0,NA
0.6909698694876815,47.09815988248692,CENTRE-VAL DE LOIRE,100,4.2,1,Ble,Semi-oceanique,Paysage mixte,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,1,Plein soleil,Ouest,0,1,0,NA
0.4010526904886635,47.58099893687078,CENTRE-VAL DE LOIRE,130,12.26,1,Ble,Semi-oceanique,Paysage mixte,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,NA
0.3450588249109876,46.7354913399538,NOUVELLE-AQUITAINE,70,1.2,1,Salade,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Ouest,0,1,0,NA
-0.28603152878670834,47.487774501519866,PAYS DE LOIRE,22,0.7,0,Salade,Oceanique a semi-oceanique nord,Paysage mixte,"Batis, milieu rural",Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Ouest,0,1,0,NA
1.362125113761032,47.997742150617356,CENTRE-VAL DE LOIRE,200,14,1,Ble,Semi-oceanique a semi-continental,Paysage mixte,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Haut de coteau,0,Plein soleil,Ouest,0,0,0,NA
1.6688594891564912,46.651916352269154,CENTRE-VAL DE LOIRE,184,21.5,0,Ble,Semi-continental sud,Paysage mixte,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Haut de coteau,1,Plein soleil,Ouest,1,1,0,NA
4.6781976639327425,48.26219540555133,GRAND-EST,167,9.45,0,Mais,Semi-continental nord,Open field,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Fond de vallee,0,Plein soleil,Ouest,0,0,0,NA
0.3687116127518006,44.11638441387137,NOUVELLE-AQUITAINE,190,1.6,1,Mais,Semi-oceanique a semi-continental,Paysage mixte,"Batis, milieu rural",Zone de grandes cultures,Zone de grandes cultures,Bas de coteau,0,Plein soleil,Ouest,0,0,0,NA
2.6522588245374537,48.26292046306867,ILE-DE-FRANCE,100,0.01,1,Salade,Semi-oceanique,Paysage mixte,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,NA
3.9723063632487374,49.0586626825895,GRAND-EST,115,0.06,1,Vigne,Semi-continental nord,Open field,Paysage mixte,Bassin viticole,Bassin viticole,Haut de coteau,0,Plein soleil,Ouest,0,1,0,NA
-2.8246537695750114,47.9057189096348,BRETAGNE,108,6,1,Mais,Oceanique,Bocage a dominante polyculture elevage,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Haut de coteau,0,Plein soleil,Ouest,0,1,0,NA
