id_point_annee,point,carre,longitude_grid_wgs84,latitude_grid_wgs84,qualite_inventaire_stoc,Alauda_arvensis,Anthus_trivialis,Carduelis_cannabina,Carduelis_carduelis,Carduelis_chloris,Certhia_brachydactyla,Columba_palumbus,Corvus_corone,Cyanistes_caeruleus,Dendrocopos_major,Emberiza_cirlus,Emberiza_citrinella,Erithacus_rubecula,Fringilla_coelebs,Garrulus_glandarius,Hippolais_polyglotta,Hirundo_rustica,Luscinia_megarhynchos,Motacilla_alba,Parus_major,Passer_domesticus,Periparus_ater,Phoenicurus_ochruros,Phylloscopus_collybita,Pica_pica,Picus_viridis,Prunella_modularis,Regulus_ignicapilla,Saxicola_rubicola,Serinus_serinus,Sitta_europaea,Streptopelia_decaocto,Streptopelia_turtur,Sturnus_vulgaris,Sylvia_atricapilla,Sylvia_communis,Troglodytes_troglodytes,Turdus_merula,Turdus_philomelos,Turdus_viscivorus,Habitat_V2,test$shape_df.short_name,Total,Landscape.PCA1,Landscape.PCA2,Landscape.PCA3,Landscape.PCA4,seqnum,hex_area,CLC,CHELSA_tas,CHELSA_spi12
2018010295P01,010295P01,10295,5.3098646668,46.2769473436,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,continental,6,0.108338445794712,-0.405088203264321,0.366889261993406,-0.569031497625188,1092651,95977942.5488965,3,7.76043316776767,-272.907182190316
2018010295P02,010295P02,10295,5.3098646668,46.2769473436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,continental,5,0.118990864461579,-0.384942961773345,0.401676430005146,-0.588230664189076,1092651,95977942.5488965,3,7.76043316776767,-272.907182190316
2018010295P03,010295P03,10295,5.3098646668,46.2769473436,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,continental,8,-0.0296774521620569,-0.255836422754365,0.614507311808867,-0.543876027915179,1092651,95977942.5488965,3,7.76043316776767,-272.907182190316
2018010295P04,010295P04,10295,5.3098646668,46.2769473436,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,continental,6,-0.274496064739269,-0.186804735332527,0.751030187924897,-0.375856245807674,1092651,95977942.5488965,3,7.76043316776767,-272.907182190316
2018010295P06,010295P06,10295,5.3098646668,46.2769473436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,continental,8,-0.354659535157507,-0.121682743058176,0.654901902813149,-0.407609672477193,1092651,95977942.5488965,3,7.76043316776767,-272.907182190316
2018010295P07,010295P07,10295,5.3098646668,46.2769473436,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,continental,5,-0.501430084421156,-0.0485898023318627,0.657349216257239,-0.32329675023699,1092651,95977942.5488965,3,7.76043316776767,-272.907182190316
2018010295P08,010295P08,10295,5.3098646668,46.2769473436,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,continental,5,-0.154345142233169,-0.279555196097568,0.603682531080728,-0.474420207449661,1092651,95977942.5488965,3,7.76043316776767,-272.907182190316
2018010295P09,010295P09,10295,5.3098646668,46.2769473436,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,continental,16,-0.39583523371884,-0.126533109042278,0.590027522796045,-0.412294282800909,1092651,95977942.5488965,3,7.76043316776767,-272.907182190316
2018010295P10,010295P10,10295,5.3098646668,46.2769473436,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,continental,13,-0.0229146978661505,-0.325786356407822,0.516160353583497,-0.586472158906212,1092651,95977942.5488965,3,7.76043316776767,-272.907182190316
2018010492P01,010492P01,10492,5.5648887134,46.1979318596,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,continental,22,1.540685609518,-1.31141380830216,-0.399836436797831,-1.04723168033438,1094110,95977942.5823838,3,5.56524354655568,-273.017743180438
