id_point_annee,NDVI,light_pollution,annee.x,precip_spring,tmp_spring,p_type,p_milieu,point,carre,altitude,LON,LAT,longitude_grid_wgs84,latitude_grid_wgs84,departement,qualite_inventaire_stoc,habitat_principal,habitat_secondaire,foret_p,agricole_p,urbain_p,ouvert_p,Alauda_arvensis,Anthus_trivialis,Carduelis_cannabina,Carduelis_carduelis,Carduelis_chloris,Certhia_brachydactyla,Columba_palumbus,Corvus_corone,Cyanistes_caeruleus,Dendrocopos_major,Emberiza_cirlus,Emberiza_citrinella,Erithacus_rubecula,Fringilla_coelebs,Garrulus_glandarius,Hippolais_polyglotta,Hirundo_rustica,Luscinia_megarhynchos,Motacilla_alba,Parus_major,Passer_domesticus,Periparus_ater,Phoenicurus_ochruros,Phylloscopus_collybita,Pica_pica,Picus_viridis,Prunella_modularis,Regulus_ignicapilla,Saxicola_rubicola,Serinus_serinus,Sitta_europaea,Streptopelia_decaocto,Streptopelia_turtur,Sturnus_vulgaris,Sylvia_atricapilla,Sylvia_communis,Troglodytes_troglodytes,Turdus_merula,Turdus_philomelos,Turdus_viscivorus,Habitat_V2,test$shape_df.short_name,Total,Landscape.PCA1,Landscape.PCA2,Landscape.PCA3,Landscape.PCA4
2018010295P01,6243.130434782609,14,2018,2.208888921803898,16.73587417789538,3,D,010295P01,10295,234,5.3005832432536,46.279525116011,5.3098646668,46.2769473436,1,1,D,D,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,continental,6,0.10833844579471236,-0.40508820326432105,0.36688926199340555,-0.5690314976251877
2018010295P02,5985.695652173913,14,2018,2.0715412495063625,16.73587417789538,3,E,010295P02,10295,234,5.2986936007669,46.285048649844,5.3098646668,46.2769473436,1,1,E,NA,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,continental,5,0.11899086446157864,-0.3849429617733454,0.40167643000514647,-0.5882306641890757
2018010295P03,6259.869565217391,12,2018,2.208888921803898,16.73587417789538,1,A,010295P03,10295,234,5.3079108283972,46.286950869092,5.3098646668,46.2769473436,1,1,A,E,TRUE,FALSE,FALSE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,continental,8,-0.02967745216205685,-0.2558364227543647,0.6145073118088672,-0.5438760279151792
2018010295P04,7736.04347826087,9,2018,2.208888921803898,16.73587417789538,3,A,010295P04,10295,234,5.3189829872107,46.283985136612,5.3098646668,46.2769473436,1,1,A,NA,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,continental,6,-0.27449606473926913,-0.18680473533252698,0.7510301879248967,-0.3758562458076743
2018010295P06,5860.086956521739,9,2018,2.208888921803898,16.73587417789538,1,D,010295P06,10295,234,5.3160364494298,46.274044664444,5.3098646668,46.2769473436,1,1,D,D,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,continental,8,-0.3546595351575074,-0.12168274305817606,0.6549019028131488,-0.40760967247719265
2018010295P07,6574.826086956522,8,2018,2.208888921803898,16.73587417789538,1,D,010295P07,10295,234,5.3206699392674,46.270647623704,5.3098646668,46.2769473436,1,1,D,D,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,continental,5,-0.5014300844211559,-0.048589802331862726,0.657349216257239,-0.3232967502369899
2018010295P08,6840.913043478261,11,2018,2.208888921803898,16.73587417789538,6,F,010295P08,10295,234,5.3061189028905,46.273279432577,5.3098646668,46.2769473436,1,1,F,D,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,continental,5,-0.15434514223316884,-0.279555196097568,0.6036825310807282,-0.47442020744966135
2018010295P09,6491.652173913043,9,2018,2.208888921803898,16.73587417789538,3,E,010295P09,10295,234,5.3089700386021,46.269236646528,5.3098646668,46.2769473436,1,1,E,D,FALSE,FALSE,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,continental,16,-0.3958352337188398,-0.1265331090422776,0.5900275227960449,-0.4122942828009086
2018010295P10,6870.869565217391,13,2018,2.0715412495063625,16.73587417789538,3,D,010295P10,10295,234,5.2980480834934,46.272158680567,5.3098646668,46.2769473436,1,1,D,E,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,continental,13,-0.022914697866150517,-0.3257863564078225,0.5161603535834972,-0.5864721589062122
2018010492P01,6389.739130434783,49,2018,2.477741972405103,15.039121527648716,3,E,010492P01,10492,551,5.5571438400248,46.190178929358,5.5648887134,46.1979318596,1,1,E,NA,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,continental,22,1.5406856095180033,-1.3114138083021583,-0.3998364367978307,-1.0472316803343764
