BIODICAPT_ID,code_local,LAT,LON,Culture,Type de pratique agricole,Cultivar,seqnum,hex_area,CLC,CHELSA_tas,CHELSA_spi12
BDC_ZAAR_P01,P1,48.1254336892461,-1.49395729150315,grande_culture,CONVENTIONNELLE,blé,634946,95977942.1606932,21,8.24759892218127,-273.058141468528
BDC_ZAAR_P02,R02,48.1605625733963,-1.28546071911267,grande_culture,CONVENTIONNELLE,maïs,634947,95977942.1547712,21,8.10636354793202,-273.074784897313
BDC_ZAAR_P03,P16,47.9833914291108,-1.55055136459346,grande_culture,CONVENTIONNELLE,blé,636405,95977942.1386597,21,8.28592461454654,-273.2812563959
BDC_ZAAR_P04,CHAT1,48.1461181247251,-1.31760392158507,grande_culture,CONVENTIONNELLE,blé,634947,95977942.1547712,21,8.10636354793202,-273.074784897313
BDC_ZAAR_P05,P18,48.0446716372602,-1.32367534111282,grande_culture,CONVENTIONNELLE,blé,635677,95977942.1408949,24,8.09583708785829,-273.161789667039
BDC_ZAAR_P06,P19,48.0174924331774,-1.31308943370998,grande_culture,CONVENTIONNELLE,blé,635676,95977942.1466841,21,8.24640142703485,-273.157965745755
BDC_ZAAR_P07,P2,48.0213546537902,-1.42275756552054,grande_culture,CONVENTIONNELLE,blé,634947,95977942.1547712,21,8.10636354793202,-273.074784897313
BDC_ZAAR_P08,P4,48.023311101786,-1.5716334575847,grande_culture,CONVENTIONNELLE,blé,635676,95977942.1466841,21,8.24640142703485,-273.157965745755
BDC_ZAAR_P09,CHAN1,47.9789728967984,-1.59561451626923,grande_culture,CONVENTIONNELLE,blé,636404,95977942.1444203,21,8.27288724140949,-273.246626336891
BDC_ZAAR_P10,R01,48.1019895842501,-1.45885643789364,grande_culture,CONVENTIONNELLE,blé,634947,95977942.1547712,21,8.10636354793202,-273.074784897313
BDC_ZAAR_P11,R06,48.0833447477856,-1.44299852784484,grande_culture,CONVENTIONNELLE,maïs,635676,95977942.1466841,21,8.24640142703485,-273.157965745755
BDC_ZAAR_P12,R07,47.9539142710908,-1.43594824002181,grande_culture,CONVENTIONNELLE,colza,635676,95977942.1466841,21,8.24640142703485,-273.157965745755
BDC_ZAAR_P13,R08,47.9611177254745,-1.38402859077416,grande_culture,CONVENTIONNELLE,orge,636406,95977942.1329615,24,8.2577791842158,-273.273172161536
BDC_ZAAR_P14,R09,47.9650297511282,-1.29367106791759,grande_culture,CONVENTIONNELLE,orge,635677,95977942.1408949,24,8.09583708785829,-273.161789667039
BDC_ZAAR_P15,R11,48.0098470356113,-1.52327729055132,grande_culture,AB,prairie,636405,95977942.1386597,21,8.28592461454654,-273.2812563959
BDC_ZAAR_P16,R12,47.9094815215975,-1.66328030651134,grande_culture,AB,prairie,636404,95977942.1444203,21,8.27288724140949,-273.246626336891
BDC_ZAAR_P17,R13,47.8196590884271,-1.67642288380201,grande_culture,CONVENTIONNELLE,maïs,637862,95977942.1284584,21,8.50697448036887,-273.40679025361
BDC_ZAAR_P18,R14,47.8544591760521,-1.65213547878671,grande_culture,AB,mélange blé féverole,637862,95977942.1284584,21,8.50697448036887,-273.40679025361
BDC_ZAAR_P19,R15,47.8965671591536,-1.86192925158897,grande_culture,CONVENTIONNELLE,blé,637131,95977942.147891,21,8.52530585139631,-273.293070965503
BDC_ZAAR_P20,R16,47.8958999498124,-1.99836545304351,grande_culture,AB,prairie,637131,95977942.147891,21,8.52530585139631,-273.293070965503
BDC_ZAAR_P21,R17,47.8158773732826,-2.04433507122726,grande_culture,CONVENTIONNELLE,colza,636401,95977942.1620028,24,8.29512158835806,-273.192014926817
BDC_ZAAR_P22,R18,47.9966719026055,-1.8897833195722,grande_culture,CONVENTIONNELLE,blé,636402,95977942.1560815,24,8.34880270358331,-273.201439223604
BDC_ZAAR_P23,R19,47.9911215514628,-1.90114120931255,grande_culture,AB,triticale,636402,95977942.1560815,24,8.34880270358331,-273.201439223604
BDC_ZAAR_P24,R20,48.0481958788019,-1.97298677754126,grande_culture,CONVENTIONNELLE,blé,635672,95977942.1703341,24,8.19241870533336,-273.166851991596
BDC_SCA_P01,C13,48.3785817426519,1.19156260990499,grande_culture,CONVENTIONNELLE,colza,1064935,95977942.1233946,21,7.19276562081762,-272.668859642672
BDC_SCA_P02,C5,48.2541013948996,1.26434869303614,grande_culture,CONVENTIONNELLE,colza,1065665,95977942.1367741,21,7.297055496889,-272.607878741096
BDC_SCA_P03,H13A,48.3120928746547,1.1960687776258,grande_culture,CONSERVATION,colza,1064935,95977942.1233946,21,7.19276562081762,-272.668859642672
BDC_SCA_P04,H1,48.3005854728448,1.19706681562247,grande_culture,CONSERVATION,colza,1064935,95977942.1233946,21,7.19276562081762,-272.668859642672
BDC_SCA_P05,AH22,48.3004925805767,1.29458086228409,grande_culture,CONVENTIONNELLE,colza,1064936,95977942.1309913,21,7.11706215464426,-272.685092948868
