column,sum
Alauda_arvensis,1191
Anthus_trivialis,381
Carduelis_cannabina,535
Carduelis_carduelis,803
Carduelis_chloris,1053
Certhia_brachydactyla,1197
Columba_palumbus,3089
Corvus_corone,1661
Cyanistes_caeruleus,2645
Dendrocopos_major,1079
Emberiza_cirlus,642
Emberiza_citrinella,622
Erithacus_rubecula,2482
Fringilla_coelebs,4442
Garrulus_glandarius,936
Hippolais_polyglotta,669
Hirundo_rustica,576
Luscinia_megarhynchos,1519
Motacilla_alba,569
Parus_major,3903
Passer_domesticus,1649
Periparus_ater,159
Phoenicurus_ochruros,1006
Phylloscopus_collybita,2641
Pica_pica,1046
Regulus_ignicapilla,550
Saxicola_rubicola,542
Serinus_serinus,503
Sitta_europaea,749
Streptopelia_decaocto,1186
Streptopelia_turtur,541
Sturnus_vulgaris,1656
Sylvia_atricapilla,4750
Sylvia_communis,970
Troglodytes_troglodytes,2562
Turdus_merula,4375
Turdus_philomelos,1258
Turdus_viscivorus,392
